,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
265,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,66,@CNN
266,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,67,@CNN
267,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,68,@CNN
268,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,69,@CNN
269,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,70,@CNN
270,-0.2732,Wed Jun 13 02:31:29 +0000 2018,0.104,0.896,0.0,71,@CNN
271,-0.3612,Wed Jun 13 02:31:08 +0000 2018,0.197,0.717,0.085,72,@CNN
272,-0.4588,Wed Jun 13 02:27:25 +0000 2018,0.24,0.66,0.101,73,@CNN
273,0.7184,Wed Jun 13 02:26:08 +0000 2018,0.0,0.75,0.25,74,@CNN
274,0.6486,Wed Jun 13 02:21:06 +0000 2018,0.0,0.773,0.227,75,@CNN
275,0.4871,Wed Jun 13 02:17:26 +0000 2018,0.0,0.884,0.116,76,@CNN
276,0.7184,Wed Jun 13 02:15:04 +0000 2018,0.0,0.7,0.3,77,@CNN
277,0.5859,Wed Jun 13 02:11:07 +0000 2018,0.0,0.725,0.275,78,@CNN
278,0.0,Wed Jun 13 02:06:04 +0000 2018,0.0,1.0,0.0,79,@CNN
279,-0.4019,Wed Jun 13 02:01:07 +0000 2018,0.226,0.658,0.115,80,@CNN
280,0.0,Wed Jun 13 03:31:03 +0000 2018,0.0,1.0,0.0,81,@CNN
281,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,82,@CNN
282,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,83,@CNN
283,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,84,@CNN
284,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,85,@CNN
285,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,86,@CNN
286,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,87,@CNN
287,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,88,@CNN
288,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,89,@CNN
289,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,90,@CNN
290,-0.2732,Wed Jun 13 02:31:29 +0000 2018,0.104,0.896,0.0,91,@CNN
291,-0.3612,Wed Jun 13 02:31:08 +0000 2018,0.197,0.717,0.085,92,@CNN
292,-0.4588,Wed Jun 13 02:27:25 +0000 2018,0.24,0.66,0.101,93,@CNN
293,0.7184,Wed Jun 13 02:26:08 +0000 2018,0.0,0.75,0.25,94,@CNN
294,0.6486,Wed Jun 13 02:21:06 +0000 2018,0.0,0.773,0.227,95,@CNN
295,0.4871,Wed Jun 13 02:17:26 +0000 2018,0.0,0.884,0.116,96,@CNN
296,0.7184,Wed Jun 13 02:15:04 +0000 2018,0.0,0.7,0.3,97,@CNN
297,0.5859,Wed Jun 13 02:11:07 +0000 2018,0.0,0.725,0.275,98,@CNN
298,0.0,Wed Jun 13 02:06:04 +0000 2018,0.0,1.0,0.0,99,@CNN
299,-0.4019,Wed Jun 13 02:01:07 +0000 2018,0.226,0.658,0.115,100,@CNN
