,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
383,-0.8585,Mon Jun 11 18:26:16 +0000 2018,0.345,0.655,0.0,84,@Fox
384,0.6369,Mon Jun 11 14:05:15 +0000 2018,0.0,0.755,0.245,85,@Fox
385,0.6369,Mon Jun 11 08:49:11 +0000 2018,0.0,0.658,0.342,86,@Fox
386,-0.296,Mon Jun 11 08:31:47 +0000 2018,0.115,0.885,0.0,87,@Fox
387,0.0,Mon Jun 11 08:06:02 +0000 2018,0.0,1.0,0.0,88,@Fox
388,0.4939,Sat Jun 09 11:32:40 +0000 2018,0.107,0.656,0.238,89,@Fox
389,0.4767,Sat Jun 09 10:36:55 +0000 2018,0.0,0.773,0.227,90,@Fox
390,-0.0258,Sat Jun 09 10:09:44 +0000 2018,0.143,0.757,0.1,91,@Fox
391,0.4404,Fri Jun 08 19:36:53 +0000 2018,0.162,0.513,0.325,92,@Fox
392,-0.188,Fri Jun 08 19:35:39 +0000 2018,0.137,0.758,0.105,93,@Fox
393,-0.4939,Fri Jun 08 19:29:48 +0000 2018,0.154,0.846,0.0,94,@Fox
394,0.2732,Fri Jun 08 18:28:26 +0000 2018,0.07,0.804,0.126,95,@Fox
395,0.0,Fri Jun 08 18:23:36 +0000 2018,0.0,1.0,0.0,96,@Fox
396,0.0,Fri Jun 08 16:54:52 +0000 2018,0.0,1.0,0.0,97,@Fox
397,-0.3818,Fri Jun 08 13:11:00 +0000 2018,0.289,0.476,0.235,98,@Fox
398,0.128,Fri Jun 08 13:00:15 +0000 2018,0.096,0.756,0.148,99,@Fox
399,0.4196,Fri Jun 08 12:43:15 +0000 2018,0.103,0.642,0.255,100,@Fox
