,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
166,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,67,@CBS
167,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,68,@CBS
168,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,69,@CBS
169,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,70,@CBS
170,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,71,@CBS
171,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,72,@CBS
172,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,73,@CBS
173,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,74,@CBS
174,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,75,@CBS
175,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,76,@CBS
176,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,77,@CBS
177,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,78,@CBS
178,0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,79,@CBS
179,0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,80,@CBS
180,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,81,@CBS
181,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,82,@CBS
182,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,83,@CBS
183,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,84,@CBS
184,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,85,@CBS
185,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,86,@CBS
186,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,87,@CBS
187,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,88,@CBS
188,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,89,@CBS
189,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,90,@CBS
190,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,91,@CBS
191,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,92,@CBS
192,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,93,@CBS
193,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,94,@CBS
194,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,95,@CBS
195,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,96,@CBS
196,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,97,@CBS
197,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,98,@CBS
198,0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,99,@CBS
199,0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,100,@CBS
