,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
66,0.4215,Tue Jun 12 15:01:55 +0000 2018,0.184,0.556,0.261,67,@BBC
67,0.5719,Tue Jun 12 14:38:12 +0000 2018,0.0,0.871,0.129,68,@BBC
68,-0.7096,Tue Jun 12 13:02:04 +0000 2018,0.275,0.619,0.107,69,@BBC
69,0.2003,Tue Jun 12 12:15:37 +0000 2018,0.095,0.776,0.129,70,@BBC
70,0.5719,Tue Jun 12 12:00:21 +0000 2018,0.0,0.764,0.236,71,@BBC
71,-0.2869,Tue Jun 12 11:04:42 +0000 2018,0.158,0.734,0.108,72,@BBC
72,-0.296,Tue Jun 12 11:03:02 +0000 2018,0.091,0.909,0.0,73,@BBC
73,0.0,Tue Jun 12 10:21:42 +0000 2018,0.0,1.0,0.0,74,@BBC
74,0.3802,Tue Jun 12 10:10:18 +0000 2018,0.0,0.912,0.088,75,@BBC
75,0.2732,Tue Jun 12 09:34:55 +0000 2018,0.0,0.877,0.123,76,@BBC
76,0.5994,Tue Jun 12 08:25:43 +0000 2018,0.0,0.855,0.145,77,@BBC
77,0.0,Tue Jun 12 08:00:18 +0000 2018,0.0,1.0,0.0,78,@BBC
78,0.4019,Tue Jun 12 07:28:06 +0000 2018,0.0,0.863,0.137,79,@BBC
79,0.0,Tue Jun 12 07:00:10 +0000 2018,0.139,0.722,0.139,80,@BBC
80,0.0,Tue Jun 12 19:01:04 +0000 2018,0.0,1.0,0.0,81,@BBC
81,0.8402,Tue Jun 12 18:07:04 +0000 2018,0.0,0.667,0.333,82,@BBC
82,0.0,Tue Jun 12 17:01:05 +0000 2018,0.0,1.0,0.0,83,@BBC
83,0.3802,Tue Jun 12 16:00:03 +0000 2018,0.1,0.667,0.233,84,@BBC
84,0.6369,Tue Jun 12 15:36:53 +0000 2018,0.0,0.794,0.206,85,@BBC
85,-0.2263,Tue Jun 12 15:14:54 +0000 2018,0.16,0.84,0.0,86,@BBC
86,0.4215,Tue Jun 12 15:01:55 +0000 2018,0.184,0.556,0.261,87,@BBC
87,0.5719,Tue Jun 12 14:38:12 +0000 2018,0.0,0.871,0.129,88,@BBC
88,-0.7096,Tue Jun 12 13:02:04 +0000 2018,0.275,0.619,0.107,89,@BBC
89,0.2003,Tue Jun 12 12:15:37 +0000 2018,0.095,0.776,0.129,90,@BBC
90,0.5719,Tue Jun 12 12:00:21 +0000 2018,0.0,0.764,0.236,91,@BBC
91,-0.2869,Tue Jun 12 11:04:42 +0000 2018,0.158,0.734,0.108,92,@BBC
92,-0.296,Tue Jun 12 11:03:02 +0000 2018,0.091,0.909,0.0,93,@BBC
93,0.0,Tue Jun 12 10:21:42 +0000 2018,0.0,1.0,0.0,94,@BBC
94,0.3802,Tue Jun 12 10:10:18 +0000 2018,0.0,0.912,0.088,95,@BBC
95,0.2732,Tue Jun 12 09:34:55 +0000 2018,0.0,0.877,0.123,96,@BBC
96,0.5994,Tue Jun 12 08:25:43 +0000 2018,0.0,0.855,0.145,97,@BBC
97,0.0,Tue Jun 12 08:00:18 +0000 2018,0.0,1.0,0.0,98,@BBC
98,0.4019,Tue Jun 12 07:28:06 +0000 2018,0.0,0.863,0.137,99,@BBC
99,0.0,Tue Jun 12 07:00:10 +0000 2018,0.139,0.722,0.139,100,@BBC
100,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,1,@CBS
101,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,2,@CBS
102,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,3,@CBS
103,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,4,@CBS
104,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,5,@CBS
105,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,6,@CBS
106,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,7,@CBS
107,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,8,@CBS
108,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,9,@CBS
109,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,10,@CBS
110,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,11,@CBS
111,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,12,@CBS
112,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,13,@CBS
113,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,14,@CBS
114,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,15,@CBS
115,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,16,@CBS
116,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,17,@CBS
